Name,Calories,Protein,Carbs,Fat
"Lamb, Australian, imported, fresh, rib, separable lean only, trimmed to 1/8"" fat, cooked, roasted",210.0,24.63,0.0,11.6
"Soup, chicken, canned, chunky, ready-to-serve",71.0,5.06,6.88,2.64
"Babyfood, cereal, mixed, with applesauce and bananas, strained",82.0,1.2,18.0,0.5
"Turkey, dark meat from whole, enhanced, meat only, raw",114.0,19.27,0.1,4.12
"Tangerines, (mandarin oranges), raw",53.0,0.81,13.34,0.31
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",31.0,0.81,7.62,0.2
"Rhubarb, frozen, cooked, with sugar",116.0,0.39,31.2,0.05
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",254.0,32.85,0.0,12.56
"Lamb, New Zealand, imported, rack - fully frenched, separable lean only, cooked, fast roasted",173.0,24.39,0.0,8.38
"Triticale flour, whole-grain",338.0,13.18,73.14,1.81
"Pork, cured, ham, whole, separable lean and fat, unheated",246.0,18.49,0.06,18.52
"Rose-apples, raw",25.0,0.6,5.7,0.3
"Babyfood, dinner, beef with vegetables",96.0,2.03,6.36,6.93
"Cake, white, prepared from recipe without frosting",357.0,5.4,57.2,12.4
"Gravy, turkey, canned, ready-to-serve",51.0,2.6,5.1,2.1
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",283.0,24.95,0.0,20.35
"Fish, roughy, orange, raw",76.0,16.41,0.0,0.7
"Grape leaves, raw",93.0,5.6,17.31,2.12
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",113.0,1.9,15.02,5.6
"Soup, escarole, canned, ready-to-serve",11.0,0.62,0.72,0.73
"Fast foods, brownie",405.0,4.57,64.95,16.84
"Soup, onion, dry, mix",293.0,7.48,65.07,0.34
"Celery, raw",16.0,0.69,2.97,0.17
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",884.0,0.0,0.0,100.0
"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",26.0,1.49,5.86,0.17
"Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, batter",277.0,23.55,9.5,15.44
"OSCAR MAYER, Wieners (beef franks, fat free)",78.0,13.2,5.1,0.5
"CAMPBELL'S CHUNKY Soups, Split Pea 'N' Ham Soup",78.0,4.9,12.24,1.02
"Fish, lingcod, cooked, dry heat",109.0,22.64,0.0,1.36
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",403.0,9.0,73.0,10.5
Acorn stew (Apache),95.0,6.81,9.22,3.47
CAMPBELL'S Homestyle HEALTHY REQUEST Chicken with Whole Grain Pasta Soup,40.0,3.8,4.28,0.82
"OSCAR MAYER, Pork Sausage Links (cooked)",343.0,16.3,1.0,30.5
"Grape juice, canned or bottled, with added ascorbic acid and calcium",62.0,0.37,14.77,0.13
"Apples, raw, with skin",52.0,0.26,13.81,0.17
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS",387.0,4.8,89.7,1.3
"Cake, pound, BIMBO Bakeries USA, Panque Casero, home baked style",418.0,6.62,48.94,21.7
"Restaurant, Mexican, cheese quesadilla",368.0,15.93,24.11,23.08
"Snacks, tortilla chips, unsalted, white corn",503.0,7.79,65.32,23.36
"Liver sausage, liverwurst, pork",326.0,14.1,2.2,28.5
"Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",217.0,25.7,0.0,11.89
"Noodles, japanese, somen, cooked",131.0,4.0,27.54,0.18
"Cake, boston cream pie, commercially prepared",252.0,2.4,42.9,8.5
"Cereals ready-to-eat, KASHI, ORGANIC PROMISE Autumn Wheat",338.0,12.0,79.0,1.4
"Wheat, soft white",340.0,10.69,75.36,1.99
"Gravy, unspecified type, dry",344.0,13.0,58.0,8.0
